Board Name                              FQBN
4D Systems gen4 IoD Range               esp8266:esp8266:gen4iod
Adafruit Circuit Playground             arduino:avr:circuitplay32u4cat
Adafruit Feather HUZZAH ESP8266         esp8266:esp8266:huzzah
Amperka WiFi Slot                       esp8266:esp8266:wifi_slot
Arduino                                 esp8266:esp8266:arduino-esp8266
Arduino BT                              arduino:avr:bt
Arduino Duemilanove or Diecimila        arduino:avr:diecimila
Arduino Esplora                         arduino:avr:esplora
Arduino Ethernet                        arduino:avr:ethernet
Arduino Fio                             arduino:avr:fio
Arduino Gemma                           arduino:avr:gemma
Arduino Industrial 101                  arduino:avr:chiwawa
Arduino Leonardo                        arduino:avr:leonardo
Arduino Leonardo ETH                    arduino:avr:leonardoeth
Arduino Mega ADK                        arduino:avr:megaADK
Arduino Mega or Mega 2560               arduino:avr:mega
Arduino Micro                           arduino:avr:micro
Arduino Mini                            arduino:avr:mini
Arduino NG or older                     arduino:avr:atmegang
Arduino Nano                            arduino:avr:nano
Arduino Pro or Pro Mini                 arduino:avr:pro
Arduino Robot Control                   arduino:avr:robotControl
Arduino Robot Motor                     arduino:avr:robotMotor
Arduino Uno                             arduino:avr:uno
Arduino Uno Mini                        arduino:avr:unomini
Arduino Uno WiFi                        arduino:avr:unowifi
Arduino Yún                             arduino:avr:yun
Arduino Yún Mini                        arduino:avr:yunmini
DOIT ESP-Mx DevKit (ESP8285)            esp8266:esp8266:espmxdevkit
Digispark (16mhz - No USB)              digistump:avr:digispark-tiny16
Digispark (1mhz - No USB)               digistump:avr:digispark-tiny1
Digispark (8mhz - No USB)               digistump:avr:digispark-tiny8
Digispark (Default - 16.5mhz)           digistump:avr:digispark-tiny
Digispark Pro (16 Mhz) (32 byte buffer) digistump:avr:digispark-pro32
Digispark Pro (16 Mhz) (64 byte buffer) digistump:avr:digispark-pro64
Digispark Pro (Default 16 Mhz)          digistump:avr:digispark-pro
Digistump Oak                           esp8266:esp8266:oak
ESPDuino (ESP-13 Module)                esp8266:esp8266:espduino
ESPectro Core                           esp8266:esp8266:espectro
ESPino (ESP-12 Module)                  esp8266:esp8266:espino
ESPresso Lite 1.0                       esp8266:esp8266:espresso_lite_v1
ESPresso Lite 2.0                       esp8266:esp8266:espresso_lite_v2
Generic ESP8266 Module                  esp8266:esp8266:generic
Generic ESP8285 Module                  esp8266:esp8266:esp8285
ITEAD Sonoff                            esp8266:esp8266:sonoff
Invent One                              esp8266:esp8266:inventone
LOLIN(WEMOS) D1 R2 & mini               esp8266:esp8266:d1_mini
LOLIN(WEMOS) D1 mini (clone)            esp8266:esp8266:d1_mini_clone
LOLIN(WEMOS) D1 mini Lite               esp8266:esp8266:d1_mini_lite
LOLIN(WEMOS) D1 mini Pro                esp8266:esp8266:d1_mini_pro
LOLIN(WeMos) D1 R1                      esp8266:esp8266:d1
Lifely Agrumino Lemon v4                esp8266:esp8266:agruminolemon
LilyPad Arduino                         arduino:avr:lilypad
LilyPad Arduino USB                     arduino:avr:LilyPadUSB
Linino One                              arduino:avr:one
NodeMCU 0.9 (ESP-12 Module)             esp8266:esp8266:nodemcu
NodeMCU 1.0 (ESP-12E Module)            esp8266:esp8266:nodemcuv2
Olimex MOD-WIFI-ESP8266(-DEV)           esp8266:esp8266:modwifi
Phoenix 1.0                             esp8266:esp8266:phoenix_v1
Phoenix 2.0                             esp8266:esp8266:phoenix_v2
Schirmilabs Eduino WiFi                 esp8266:esp8266:eduinowifi
Seeed Wio Link                          esp8266:esp8266:wiolink
SparkFun Blynk Board                    esp8266:esp8266:blynk
SparkFun ESP8266 Thing                  esp8266:esp8266:thing
SparkFun ESP8266 Thing Dev              esp8266:esp8266:thingdev
SweetPea ESP-210                        esp8266:esp8266:esp210
ThaiEasyElec's ESPino                   esp8266:esp8266:espinotee
WiFi Kit 8                              esp8266:esp8266:wifi_kit_8
WiFiduino                               esp8266:esp8266:wifiduino
WifInfo                                 esp8266:esp8266:wifinfo
XinaBox CW01                            esp8266:esp8266:cw01
